phys_ratio_band,n,min_phys_ratio,q1_phys_ratio,median_phys,mean_phys,q3_phys_ratio,max_phys_ratio,min_life_exp,q1_life_exp,median_life_exp,mean_life_exp,q3_life_exp,max_life_exp,sd_phys_ratio,sd_life_exp,cor_pearson
≤1k,20,337,723.5,799.5,758.6,900.25,953,66.648797005,73.23735822024999,75.897696288,75.82135561715,78.45758074075,84.536552014,197.39044929703212,4.630666709560861,-0.16260129408325932
1–2k,35,1009,1236.5,1378,1447.3714285714286,1731.5,1965,64.32283957,73.4281108125,76.169270308,75.41094419365714,77.8812759475,83.939740145,289.8243977180062,4.35433881719291,-0.25057295144151887
2–3k,28,2070,2220.25,2546.5,2518.285714285714,2788,2983,70.531870002,72.92597841475,74.7760215065,74.78394790592857,76.63173476875,80.596432187,311.7432297097104,2.570528819917252,-0.008930988727707263
3–5k,25,3029,3306,3963,3849.96,4456,4683,67.300623399,72.233420812,75.23763437,74.66122412384,77.310786937,79.69255427,585.9324107778984,3.200770265148753,0.15211921320415228
≥5k,17,5963,6937,8177,8927.588235294117,10444,13942,73.565568745,74.843526516,75.918636702,75.9395436157647,76.463670565,78.869646486,2571.7134623345855,1.586267390493306,-0.062305349038281915
NA,9,Inf,NA,NA,NA,NA,-Inf,65.781186288,66.66475124075001,72.8204473495,73.4605732735,76.305627344,88.913943176,NA,7.8428679000625605,NA
