var,n,min,q1,median,mean,q3,max,sd,skew,kurt
median_household_income,135,42618,54786.25,65322.5,72872.5223880597,85506.5,173655,24583.565038369346,1.3259300251417674,1.8323205402837575
life_expectancy,135,64.32283957,73.155227869,75.2554098765,75.16818182008956,77.6089464485,88.913943176,3.885232145885971,-0.04775498311420378,1.1832869145164606
