rural_band,n,min,Q1,median,mean,Q3,max,sd
0-25%,47,64.32283957,71.460800396,74.813592435,75.03669217919149,78.47715144349999,88.913943176,5.648269646308594
26-50%,8,73.617296864,77.2522633615,78.17975504750001,77.788436885125,78.7730698695,81.45895265,2.365758862082458
51-75%,21,70.531870002,74.009770162,75.492672689,75.26940853619048,76.956424951,79.69255427,2.604932273804974
76-100%,57,69.36607957,73.077916773,74.924689796,74.82909692063157,76.350810509,80.187474873,2.302358563046317
